file_name,model_output
target_007_tuna_fish_can_:0000_iteration_8_gesture_True_.mp4,"Action: Move out of the way, Reasoning: Allow the human to pass first."
target_009_gelatin_box_:0000_iteration_30_gesture_False_2024-11-17_13:57:55_seed_65.mp4,"Action: Move aside, Reasoning: Allow the human to pass first."
target_009_gelatin_box_:0000_iteration_1_gesture_True_.mp4,"Action: Move aside, Reasoning: Allow the human to pass first."
target_009_gelatin_box_:0000_iteration_21_gesture_True_2024-11-15_12:25:53.mp4,"Action: Step aside, Reasoning: Allow the human to pass first."
target_010_potted_meat_can_:0000_iteration_3_gesture_True_.mp4,"Action: Move out of the way, Reasoning: Allow the human to pass first."
target_009_gelatin_box_:0001_iteration_22_gesture_True_2024-11-15_12:25:53.mp4,"Action: Move out of the way, Reasoning: Allow the human to pass first."
target_009_gelatin_box_:0000_iteration_4_gesture_False_2024-11-15_15:37:18_seed_34.mp4,"Action: Move aside, Reasoning: Allow the human to pass first."
target_009_gelatin_box_:0000_iteration_8_gesture_True_.mp4,"Action: Move out of the way, Reasoning: Allow the human to pass first."
target_010_potted_meat_can_:0000_iteration_8_gesture_True_.mp4,"Action: Move out of the way, Reasoning: Allow the human to pass first."
target_009_gelatin_box_:0000_iteration_9_gesture_False_2024-11-15_15:40:57_seed_35.mp4,"Action: Move aside, Reasoning: Allow the human to pass first."
target_007_tuna_fish_can_:0000_iteration_5_gesture_True_.mp4,"Action: Move out of the way, Reasoning: Allow the human to pass without obstruction."
target_003_cracker_box_:0000_iteration_19_gesture_False_2024-11-15_15:40:57_seed_35.mp4,"Action: Move aside, Reasoning: Allow the human to pass first."
target_009_gelatin_box_:0000_iteration_27_gesture_False_2024-11-17_13:57:55_seed_65.mp4,"Action: Move aside, Reasoning: Allow the human to pass first."
target_009_gelatin_box_:0000_iteration_8_gesture_True_2024-11-15_12:25:53.mp4,"Action: Move out of the way, Reasoning: Allow the human to pass without obstruction."
target_002_master_chef_can_:0000_iteration_7_gesture_False_2024-11-15_15:37:18_seed_34.mp4,"Action: Move aside, Reasoning: Allow the human to pass first."
target_002_master_chef_can_:0000_iteration_6_gesture_True_.mp4,"Action: Move out of the way, Reasoning: Allow the human to pass first."
target_003_cracker_box_:0000_iteration_18_gesture_False_2024-11-17_13:57:55_seed_65.mp4,"Action: Move out of the way, Reasoning: Allow the human to pass first."
target_010_potted_meat_can_:0000_iteration_12_gesture_False_2024-11-17_13:57:55_seed_65.mp4,"Action: Move aside to let the human pass, Reasoning: Understand and respect social cues and cooperate in shared spaces."
target_005_tomato_soup_can_:0000_iteration_17_gesture_True_2024-11-17_19:15:20_seed_66.mp4,"Action: Move out of the way, Reasoning: Allow the human to pass first."
target_009_gelatin_box_:0000_iteration_30_gesture_True_2024-11-15_12:25:53.mp4,"Action: Move aside, Reasoning: Allow the human to pass first."
target_009_gelatin_box_:0000_iteration_7_gesture_False_2024-11-17_13:57:55_seed_65.mp4,"Action: Move forward, Reasoning: To reach the other agent (human) in the apartment."
target_003_cracker_box_:0000_iteration_6_gesture_True_.mp4,"Action: Move aside, Reasoning: Allow the human to pass first."
target_002_master_chef_can_:0000_iteration_8_gesture_True_2.mp4,"Action: Move forward, Reasoning: To approach the human and engage in a cooperative interaction."
target_003_cracker_box_:0000_iteration_49_gesture_True_2024-11-17_19:15:20_seed_66.mp4,"Action: Move to the bedroom, Reasoning: To assist the human in their task."
target_002_master_chef_can_:0000_iteration_2_gesture_False_2024-11-17_13:57:55_seed_65.mp4,"Action: Move out of the way, Reasoning: Allow the human to pass first."
target_010_potted_meat_can_:0000_iteration_30_gesture_False_2024-11-17_13:57:55_seed_65.mp4,"Action: Move aside, Reasoning: Allow the human to pass first."
target_010_potted_meat_can_:0000_iteration_40_gesture_False_2024-11-17_13:57:55_seed_65.mp4,"Action: Move aside, Reasoning: Allow the human to pass first."
target_002_master_chef_can_:0000_iteration_14_gesture_False_2024-11-15_15:37:18_seed_34.mp4,"Action: Move aside, Reasoning: Allow the human to pass first."
target_009_gelatin_box_:0000_iteration_2_gesture_True_.mp4,"Action: Move aside, Reasoning: Allow the human to pass first."
target_009_gelatin_box_:0000_iteration_8_gesture_False_2024-11-17_13:57:55_seed_65.mp4,"Action: Move aside, Reasoning: Allow the human to pass first."
target_009_gelatin_box_:0000_iteration_38_gesture_False_2024-11-17_13:57:55_seed_65.mp4,"Action: Move aside, Reasoning: Allow the human to pass first."
target_009_gelatin_box_:0000_iteration_5_gesture_True_.mp4,"Action: Move out of the way, Reasoning: Allow the human to pass first."
target_002_master_chef_can_:0000_iteration_10_gesture_True_.mp4,"Action: Move aside, Reasoning: Allow the human to pass first."
target_003_cracker_box_:0000_iteration_30_gesture_False_2024-11-15_15:40:57_seed_35.mp4,"Action: Move forward, Reasoning: To avoid collision with the human."
target_002_master_chef_can_:0000_iteration_43_gesture_True_2024-11-17_19:15:20_seed_66.mp4,"Action: Move out of the way, Reasoning: Allow the human to pass first."
target_009_gelatin_box_:0000_iteration_5_gesture_False_2024-11-17_13:57:55_seed_65.mp4,"Action: Move forward, Reasoning: To avoid collision with the human."
target_009_gelatin_box_:0000_iteration_10_gesture_True_2024-11-15_12:25:53.mp4,"Action: Move out of the way, Reasoning: Allow the human to pass first."
target_009_gelatin_box_:0000_iteration_15_gesture_False_2024-11-15_15:40:57_seed_35.mp4,"Action: Move aside, Reasoning: Allow the human to pass first."
target_002_master_chef_can_:0000_iteration_8_gesture_True_3.mp4,"Action: Move aside, Reasoning: Allow the human to pass first."
target_009_gelatin_box_:0000_iteration_14_gesture_True_2024-11-15_12:25:53.mp4,"Action: Move aside, Reasoning: Allow the human to pass first."
target_010_potted_meat_can_:0000_iteration_10_gesture_False_2024-11-17_13:57:55_seed_65.mp4,"Action: Move forward, Reasoning: To avoid collision with human."
target_009_gelatin_box_:0000_iteration_10_gesture_False_2024-11-15_15:40:57_seed_35.mp4,"Action: Move aside, Reasoning: Allow the human to pass first."
target_002_master_chef_can_:0000_iteration_15_gesture_True_2024-11-11_02:42:17.mp4,"Action: Move aside, Reasoning: Allow the human to pass first."
target_002_master_chef_can_:0000_iteration_14_gesture_False_2024-11-15_15:31:45_seed_24.mp4,"Action: Move out of the way, Reasoning: Allow the human to pass first."
target_002_master_chef_can_:0000_iteration_23_gesture_False_2024-11-15_15:37:18_seed_34.mp4,"Action: Move out of the way, Reasoning: Allow the human to pass without obstruction."
target_010_potted_meat_can_:0000_iteration_13_gesture_False_2024-11-17_13:57:55_seed_65.mp4,"Action: Move aside, Reasoning: Allow the human to pass first."
target_010_potted_meat_can_:0000_iteration_4_gesture_False_2024-11-17_13:57:55_seed_65.mp4,"Action: Move out of the way, Reasoning: Allow the human to use the bathroom first."
target_009_gelatin_box_:0000_iteration_6_gesture_True_.mp4,"Action: Move out of the way, Reasoning: Allow the human to pass without obstruction."
target_003_cracker_box_:0000_iteration_7_gesture_False_2024-11-15_15:40:57_seed_35.mp4,"Action: Move forward, Reasoning: To avoid collision with the human."
target_002_master_chef_can_:0000_iteration_3_gesture_True_2024-11-17_19:15:20_seed_66.mp4,"Action: Step aside, Reasoning: Allow the human to pass first."
target_002_master_chef_can_:0000_iteration_1_gesture_False_2024-11-15_15:37:18_seed_34.mp4,"Action: Move forward, Reasoning: To approach the human and engage in a conversation."
target_002_master_chef_can_:0000_iteration_11_gesture_False_2024-11-17_13:57:55_seed_65.mp4,"Action: Move out of the way, Reasoning: Allow the human to pass first."
target_010_potted_meat_can_:0000_iteration_21_gesture_False_2024-11-17_13:57:55_seed_65.mp4,"Action: Move aside, Reasoning: Allow the human to pass first."
target_002_master_chef_can_:0000_iteration_4_gesture_True_.mp4,"Action: Move aside, Reasoning: Allow the human to pass first."
target_009_gelatin_box_:0000_iteration_18_gesture_False_2024-11-17_13:57:55_seed_65.mp4,"Action: Move aside, Reasoning: Allow the human to pass first."
target_002_master_chef_can_:0000_iteration_19_gesture_True_2024-11-11_02:42:17.mp4,"Action: Move aside, Reasoning: Allow the human to pass first."
target_009_gelatin_box_:0000_iteration_13_gesture_False_2024-11-17_13:57:55_seed_65.mp4,"Action: Move forward, Reasoning: To avoid collision with the human."
